TypeName	Method	ReturnType	TypeFullName	Signature
BattleNetProvider	GetGameMetadataAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.External.BattleNetProvider	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameMetadataAsync(System.String, System.Threading.CancellationToken)
BattleNetProvider	GetInstalledGamesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.GameLibrary.DTOs.GameInfo, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.External.BattleNetProvider	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.GameLibrary.DTOs.GameInfo]] GetInstalledGamesAsync(System.Threading.CancellationToken)
DistributedCacheService	GetAsync	Task`1	SaveState.Infrastructure.Caching.DistributedCacheService	System.Threading.Tasks.Task`1[T] GetAsync[T](System.String, System.Threading.CancellationToken)
DistributedCacheService	GetOrCreateAsync	Task`1	SaveState.Infrastructure.Caching.DistributedCacheService	System.Threading.Tasks.Task`1[T] GetOrCreateAsync[T](System.String, System.Func`1[System.Threading.Tasks.Task`1[T]], System.Nullable`1[System.TimeSpan], System.Threading.CancellationToken)
DistributedCacheService	GetStatistics	SaveState.Infrastructure.Caching.CacheStatistics	SaveState.Infrastructure.Caching.DistributedCacheService	SaveState.Infrastructure.Caching.CacheStatistics GetStatistics()
EpicProvider	GetGameMetadataAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.External.EpicProvider	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameMetadataAsync(System.String, System.Threading.CancellationToken)
EpicProvider	GetInstalledGamesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.GameLibrary.DTOs.GameInfo, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.External.EpicProvider	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.GameLibrary.DTOs.GameInfo]] GetInstalledGamesAsync(System.Threading.CancellationToken)
GogProvider	GetGameMetadataAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.External.GogProvider	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameMetadataAsync(System.String, System.Threading.CancellationToken)
GogProvider	GetInstalledGamesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.GameLibrary.DTOs.GameInfo, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.External.GogProvider	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.GameLibrary.DTOs.GameInfo]] GetInstalledGamesAsync(System.Threading.CancellationToken)
GoogleDriveStorageProvider	DownloadFileAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Sync.GoogleDriveStorageProvider	System.Threading.Tasks.Task`1[System.Boolean] DownloadFileAsync(System.String, System.String, System.Threading.CancellationToken)
GoogleDriveStorageProvider	UploadFileAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Sync.GoogleDriveStorageProvider	System.Threading.Tasks.Task`1[System.Boolean] UploadFileAsync(System.String, System.String, System.Threading.CancellationToken)
IgdbMetadataService	GetGameMetadataAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.External.IgdbMetadataService	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameMetadataAsync(System.String, System.Threading.CancellationToken)
LocalFileStorageProvider	DownloadFileAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Sync.LocalFileStorageProvider	System.Threading.Tasks.Task`1[System.Boolean] DownloadFileAsync(System.String, System.String, System.Threading.CancellationToken)
LocalFileStorageProvider	UploadFileAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Sync.LocalFileStorageProvider	System.Threading.Tasks.Task`1[System.Boolean] UploadFileAsync(System.String, System.String, System.Threading.CancellationToken)
MemoryCacheService	GetAsync	Task`1	SaveState.Infrastructure.Common.MemoryCacheService	System.Threading.Tasks.Task`1[T] GetAsync[T](System.String, System.Threading.CancellationToken)
MemoryCacheService	GetBatch	IDictionary`2	SaveState.Infrastructure.Common.MemoryCacheService	System.Collections.Generic.IDictionary`2[System.String,T] GetBatch[T](System.Collections.Generic.IEnumerable`1[System.String])
MemoryCacheService	GetOrCreateAsync	Task`1	SaveState.Infrastructure.Common.MemoryCacheService	System.Threading.Tasks.Task`1[T] GetOrCreateAsync[T](System.String, System.Func`2[Microsoft.Extensions.Caching.Memory.ICacheEntry,System.Threading.Tasks.Task`1[T]], System.Threading.CancellationToken)
MemoryCacheService	GetStatistics	SaveState.Core.Common.CacheStatistics	SaveState.Infrastructure.Common.MemoryCacheService	SaveState.Core.Common.CacheStatistics GetStatistics()
MemoryCacheService	TryGetValue	System.Boolean	SaveState.Infrastructure.Common.MemoryCacheService	Boolean TryGetValue[T](System.String, T ByRef)
OneDriveStorageProvider	DownloadFileAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Sync.OneDriveStorageProvider	System.Threading.Tasks.Task`1[System.Boolean] DownloadFileAsync(System.String, System.String, System.Threading.CancellationToken)
OneDriveStorageProvider	UploadFileAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Sync.OneDriveStorageProvider	System.Threading.Tasks.Task`1[System.Boolean] UploadFileAsync(System.String, System.String, System.Threading.CancellationToken)
OriginProvider	GetGameMetadataAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.External.OriginProvider	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameMetadataAsync(System.String, System.Threading.CancellationToken)
OriginProvider	GetInstalledGamesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.GameLibrary.DTOs.GameInfo, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.External.OriginProvider	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.GameLibrary.DTOs.GameInfo]] GetInstalledGamesAsync(System.Threading.CancellationToken)
PerformanceMonitoringService	GetMemoryUsageMB	System.Int64	SaveState.Infrastructure.Performance.PerformanceMonitoringService	Int64 GetMemoryUsageMB()
ResilientMetadataService	GetGameMetadataAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.GameLibrary.Services.ResilientMetadataService	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameMetadataAsync(System.String, System.Threading.CancellationToken)
SmartLauncherService	GetLaunchHistoryAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.SmartLauncher.LaunchSession, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Application.SmartLauncher.SmartLauncherService	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.SmartLauncher.LaunchSession]] GetLaunchHistoryAsync(System.Guid, Int32, System.Threading.CancellationToken)
SmartLauncherService	GetProfilesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.SmartLauncher.LaunchProfile, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Application.SmartLauncher.SmartLauncherService	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.SmartLauncher.LaunchProfile]] GetProfilesAsync(System.Nullable`1[System.Guid], System.Threading.CancellationToken)
SteamApiClient	GetGameDetailsAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.External.SteamApiClient	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameDetailsAsync(System.String, System.Threading.CancellationToken)
SteamApiClient	GetOwnedGamesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Infrastructure.External.SteamGame, SaveState.Infrastructure, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.External.SteamApiClient	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Infrastructure.External.SteamGame]] GetOwnedGamesAsync(System.Threading.CancellationToken)
SteamGridDbApiClient	GetGridsBySteamIdAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Infrastructure.External.SteamGridDbGrid, SaveState.Infrastructure, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.External.SteamGridDbApiClient	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Infrastructure.External.SteamGridDbGrid]] GetGridsBySteamIdAsync(Int32, System.Threading.CancellationToken)
SteamProvider	GetGameMetadataAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.External.SteamProvider	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameMetadataAsync(System.String, System.Threading.CancellationToken)
SteamProvider	GetInstalledGamesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.GameLibrary.DTOs.GameInfo, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.External.SteamProvider	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.GameLibrary.DTOs.GameInfo]] GetInstalledGamesAsync(System.Threading.CancellationToken)
SyncService	GetConflictsAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.Sync.SyncConflictEventArgs, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Sync.SyncService	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.Sync.SyncConflictEventArgs]] GetConflictsAsync(System.Threading.CancellationToken)
SyncService	GetFileSyncStatusAsync	System.Threading.Tasks.Task`1[[SaveState.Core.Sync.FileSyncStatus, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.Sync.SyncService	System.Threading.Tasks.Task`1[SaveState.Core.Sync.FileSyncStatus] GetFileSyncStatusAsync(System.String, System.Threading.CancellationToken)
SyncService	ResolveConflictAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Sync.SyncService	System.Threading.Tasks.Task`1[System.Boolean] ResolveConflictAsync(System.String, System.String, System.Threading.CancellationToken)
SystemOptimizerService	GetCurrentPowerPlanAsync	System.Threading.Tasks.Task`1[[System.String, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.SmartLauncher.SystemOptimizerService	System.Threading.Tasks.Task`1[System.String] GetCurrentPowerPlanAsync(System.Threading.CancellationToken)
SystemOptimizerService	SuspendProcessesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.List`1[[SaveState.Core.SmartLauncher.ProcessInfo, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.SmartLauncher.SystemOptimizerService	System.Threading.Tasks.Task`1[System.Collections.Generic.List`1[SaveState.Core.SmartLauncher.ProcessInfo]] SuspendProcessesAsync(System.Collections.Generic.List`1[System.String], System.Threading.CancellationToken)
SystemTimeProvider	GetTimestamp	System.Int64	SaveState.Core.Common.Services.SystemTimeProvider	Int64 GetTimestamp()
TobiiEyeTrackingProvider	GetDiagnostics	SaveState.Infrastructure.AI.EyeTracking.EyeTrackerDiagnostics	SaveState.Infrastructure.AI.EyeTracking.TobiiEyeTrackingProvider	SaveState.Infrastructure.AI.EyeTracking.EyeTrackerDiagnostics GetDiagnostics()
UbisoftProvider	GetGameMetadataAsync	System.Threading.Tasks.Task`1[[SaveState.Core.GameLibrary.DTOs.GameMetadata, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]	SaveState.Infrastructure.External.UbisoftProvider	System.Threading.Tasks.Task`1[SaveState.Core.GameLibrary.DTOs.GameMetadata] GetGameMetadataAsync(System.String, System.Threading.CancellationToken)
UbisoftProvider	GetInstalledGamesAsync	System.Threading.Tasks.Task`1[[System.Collections.Generic.IReadOnlyList`1[[SaveState.Core.GameLibrary.DTOs.GameInfo, SaveState.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.External.UbisoftProvider	System.Threading.Tasks.Task`1[System.Collections.Generic.IReadOnlyList`1[SaveState.Core.GameLibrary.DTOs.GameInfo]] GetInstalledGamesAsync(System.Threading.CancellationToken)
UserContextService	GetCurrentUserIdRequired	System.Guid	SaveState.Infrastructure.UserManagement.UserContextService	System.Guid GetCurrentUserIdRequired()
UserPreferencesService	GetAiApiKeyAsync	System.Threading.Tasks.Task`1[[System.String, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Services.UserPreferencesService	System.Threading.Tasks.Task`1[System.String] GetAiApiKeyAsync(System.String, System.Threading.CancellationToken)
UserPreferencesService	GetAutoSyncOnExitAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Services.UserPreferencesService	System.Threading.Tasks.Task`1[System.Boolean] GetAutoSyncOnExitAsync(System.Threading.CancellationToken)
UserPreferencesService	GetBackgroundSyncAlertCooldownSecondsAsync	System.Threading.Tasks.Task`1[[System.Int32, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Services.UserPreferencesService	System.Threading.Tasks.Task`1[System.Int32] GetBackgroundSyncAlertCooldownSecondsAsync(System.Threading.CancellationToken)
UserPreferencesService	GetBackgroundSyncConflictAlertsEnabledAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Services.UserPreferencesService	System.Threading.Tasks.Task`1[System.Boolean] GetBackgroundSyncConflictAlertsEnabledAsync(System.Threading.CancellationToken)
UserPreferencesService	GetBackgroundSyncFailureAlertsEnabledAsync	System.Threading.Tasks.Task`1[[System.Boolean, System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	SaveState.Infrastructure.Services.UserPreferencesService	System.Threading.Tasks.Task`1[System.Boolean] GetBackgroundSyncFailureAlertsEnabledAsync(System.Threading.CancellationToken)
