"Project","Framework","Type","Id","Requested","Resolved","Latest"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Application/SaveState.Application.csproj","net9.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.CLI/SaveState.CLI.csproj","net9.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Core/SaveState.Core.csproj","net9.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Infrastructure/SaveState.Infrastructure.csproj","net9.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Plugins.Accessibility/SaveState.Plugins.Accessibility.csproj","net9.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Plugins.AiRecommender/SaveState.Plugins.AiRecommender.csproj","net10.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Plugins.BackloggdSync/SaveState.Plugins.BackloggdSync.csproj","net10.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Plugins.BacklogPrioritizer/SaveState.Plugins.BacklogPrioritizer.csproj","net10.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Plugins.BatterySaver/SaveState.Plugins.BatterySaver.csproj","net10.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
"C:/Users/Doc/Desktop/SaveStateReborn/src/SaveState.Plugins.BoxArtGenerator/SaveState.Plugins.BoxArtGenerator.csproj","net10.0","TopLevel","Ardalis.GuardClauses","4.5.0","4.5.0","5.0.0"
